ticket_id,customer_id,order_id,data_abertura,data_fechamento,canal_entrada,categoria_problema,status_atendimento,texto_cliente,nota_csat,tempo_primeira_resposta_minutos,custo_operacional_ticket
TKT-010386,CLI-01729,ORD-013430,2023-08-29 15:16:10,2025-12-31 23:59:00,ChatBot,Onde está meu pedido?,Aberto,Cadê meu produto? Já passou da data prevista.,1.0,3.0,2.0
TKT-010387,CLI-01729,ORD-012606,2023-05-31 17:14:35,2025-12-31 23:59:00,E-mail,Onde está meu pedido?,Aberto,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",3.0,214.0,15.0
TKT-010388,CLI-11830,ORD-059795,2025-12-12 12:05:21,2025-12-13 16:05:21,E-mail,Onde está meu pedido?,Escalado para N2,Meu rastreio não atualiza desde terça. Alguém me ajuda?,3.0,452.0,15.0
TKT-010389,CLI-03910,ORD-027107,2025-09-04 07:00:00,2025-09-07 23:00:00,WhatsApp,Defeito,Resolvido,A costura estava totalmente solta quando abri a embalagem.,1.0,5.0,15.0
TKT-010390,CLI-08289,ORD-039109,2025-10-05 18:28:11,2025-10-09 05:28:11,E-mail,Elogio,Resolvido,"Melhor loja online que já comprei, recomendo muito.",5.0,145.0,15.0
TKT-010391,CLI-03910,ORD-026260,2025-09-26 13:14:13,2025-09-28 08:14:13,ChatBot,Troca de Tamanho,Resolvido,Como solicito a troca? O tamanho P está pequeno demais.,4.0,3.0,2.0
TKT-010392,CLI-11830,ORD-020967,2024-09-14 18:36:14,2024-09-18 01:36:14,Telefone,Defeito,Escalado para N2,"Recebi o item danificado, quero reembolso.",3.0,3.0,15.0
TKT-010393,CLI-06014,ORD-033390,2024-12-13 16:41:20,2024-12-15 01:41:20,E-mail,Dúvida Técnica,Resolvido,O app não carrega a página de checkout.,5.0,344.0,15.0
TKT-010394,CLI-11830,ORD-049764,2024-09-18 16:07:32,2024-09-22 09:07:32,Telefone,Pagamento não aprovado,Resolvido,Meu pagamento não foi aprovado mas o valor foi debitado.,3.0,18.0,15.0
TKT-010395,CLI-10455,ORD-042336,2023-03-12 12:42:40,2023-03-15 15:42:40,ChatBot,Pagamento não aprovado,Escalado para N2,O boleto venceu e não consigo gerar outro.,3.0,1.0,2.0
TKT-010396,CLI-11830,ORD-013453,2025-04-04 19:59:08,2025-12-31 23:59:00,Telefone,Pagamento não aprovado,Em Análise,PIX foi debitado mas o pedido está como pendente.,2.0,3.0,15.0
TKT-010397,CLI-13668,ORD-051650,2024-07-26 12:04:42,2024-07-29 10:04:42,Telefone,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,3.0,9.0,15.0
TKT-010398,CLI-08001,ORD-034745,2024-12-14 07:59:07,2024-12-16 19:59:07,ChatBot,Troca de Tamanho,Resolvido,"Preciso trocar o tamanho M pelo G, como faço?",3.0,1.0,2.0
TKT-010399,CLI-11830,ORD-078873,2024-07-22 12:26:12,2024-07-23 12:26:12,WhatsApp,Defeito,Resolvido,"Recebi o item danificado, quero reembolso.",3.0,4.0,15.0
TKT-010400,CLI-11830,ORD-044101,2024-07-06 12:36:08,2025-12-31 23:59:00,WhatsApp,Onde está meu pedido?,Em Análise,Meu rastreio não atualiza desde terça. Alguém me ajuda?,4.0,14.0,15.0
TKT-010401,CLI-01729,ORD-046723,2023-07-29 15:33:58,2023-08-01 12:33:58,Reclame Aqui,Dúvida Técnica,Escalado para N2,Qual o prazo de entrega para o meu CEP?,4.0,314.0,45.0
TKT-010402,CLI-01729,ORD-052065,2023-11-23 14:38:42,2023-11-26 15:38:42,WhatsApp,Dúvida Técnica,Resolvido,Qual o prazo de entrega para o meu CEP?,4.0,3.0,15.0
TKT-010403,CLI-11830,ORD-021464,2023-07-10 11:30:40,2023-07-13 02:30:40,Reclame Aqui,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,3.0,368.0,45.0
TKT-010404,CLI-11830,ORD-001257,2023-08-31 19:27:27,2023-09-03 08:27:27,ChatBot,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,4.0,2.0,2.0
TKT-010405,CLI-02474,ORD-026289,2025-12-10 08:32:55,2025-12-13 11:32:55,Reclame Aqui,Onde está meu pedido?,Resolvido,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",3.0,1381.0,45.0
TKT-010406,CLI-01729,ORD-076273,2023-07-01 17:48:48,2023-07-02 22:48:48,ChatBot,Elogio,Resolvido,"Melhor loja online que já comprei, recomendo muito.",4.0,0.0,2.0
TKT-010407,CLI-01729,ORD-044001,2023-11-17 12:34:13,2023-11-20 15:34:13,ChatBot,Onde está meu pedido?,Resolvido,Meu rastreio não atualiza desde terça. Alguém me ajuda?,1.0,2.0,2.0
TKT-010408,CLI-01021,ORD-037514,2024-11-08 10:52:24,2024-11-10 07:52:24,WhatsApp,Defeito,Resolvido,O produto chegou com defeito de fabricação.,2.0,8.0,15.0
TKT-010409,CLI-01729,ORD-008640,2024-11-21 18:25:53,2024-11-25 13:25:53,WhatsApp,Pagamento não aprovado,Resolvido,"Cartão recusado sem motivo, quero entender o que aconteceu.",2.0,14.0,15.0
TKT-010410,CLI-11830,ORD-015080,2023-07-02 14:50:01,2025-12-31 23:59:00,E-mail,Onde está meu pedido?,Em Análise,Cadê meu produto? Já passou da data prevista.,2.0,426.0,15.0
TKT-010411,CLI-01729,ORD-051392,2025-05-25 20:04:03,2025-12-31 23:59:00,E-mail,Defeito,Aberto,O produto parou de funcionar em dois dias. Absurdo.,3.0,366.0,15.0
TKT-010412,CLI-09097,ORD-009699,2025-05-18 18:20:25,2025-05-19 05:20:25,ChatBot,Pagamento não aprovado,Resolvido,PIX foi debitado mas o pedido está como pendente.,3.0,1.0,2.0
TKT-010413,CLI-11830,ORD-021605,2023-10-24 10:38:19,2023-10-25 03:38:19,ChatBot,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,4.0,3.0,2.0
TKT-010414,CLI-14211,ORD-066679,2023-11-27 10:37:25,2023-11-29 20:37:25,Telefone,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,4.0,18.0,15.0
TKT-010415,CLI-14211,ORD-053495,2025-11-16 15:54:51,2025-11-17 18:54:51,ChatBot,Elogio,Escalado para N2,"Qualidade excelente, com certeza vou comprar novamente.",5.0,3.0,2.0
TKT-010416,CLI-11830,ORD-018332,2025-07-05 16:23:14,2025-12-31 23:59:00,E-mail,Dúvida Técnica,Em Análise,Qual o prazo de entrega para o meu CEP?,3.0,252.0,15.0
TKT-010417,CLI-11830,ORD-013748,2025-02-12 14:03:14,2025-02-13 10:03:14,Telefone,Defeito,Resolvido,O produto parou de funcionar em dois dias. Absurdo.,2.0,14.0,15.0
TKT-010418,CLI-08289,ORD-012388,2023-04-13 11:54:21,2025-12-31 23:59:00,ChatBot,Defeito,Aberto,A costura estava totalmente solta quando abri a embalagem.,2.0,1.0,2.0
TKT-010419,CLI-06160,ORD-000846,2024-04-14 09:55:14,2024-04-14 14:55:14,ChatBot,Elogio,Resolvido,"Embalagem linda, presente perfeito. Obrigada!",3.0,2.0,2.0
TKT-010420,CLI-11830,ORD-059932,2024-10-06 08:07:07,2024-10-06 19:07:07,ChatBot,Onde está meu pedido?,Resolvido,"Fiz o pedido há 10 dias e ainda não chegou, o que está acontecendo?",3.0,0.0,2.0
TKT-010421,CLI-12742,ORD-067124,2023-08-20 15:03:00,2025-12-31 23:59:00,Telefone,Troca de Tamanho,Aberto,Como solicito a troca? O tamanho P está pequeno demais.,3.0,5.0,15.0
TKT-010422,CLI-12742,ORD-066490,2024-05-16 17:03:01,2024-05-20 14:03:01,E-mail,Onde está meu pedido?,Resolvido,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",3.0,175.0,15.0
TKT-010423,CLI-04627,ORD-008732,2024-11-15 18:56:18,2024-11-18 07:56:18,Reclame Aqui,Defeito,Resolvido,"Recebi o item danificado, quero reembolso.",3.0,1209.0,45.0
TKT-010424,CLI-10049,ORD-067225,2023-12-26 17:35:59,2025-12-31 23:59:00,WhatsApp,Dúvida Técnica,Aberto,Como adiciono um endereço diferente para entrega?,4.0,5.0,15.0
TKT-010425,CLI-11830,ORD-045008,2025-05-14 21:15:25,2025-12-31 23:59:00,Telefone,Dúvida Técnica,Aberto,Como adiciono um endereço diferente para entrega?,4.0,8.0,15.0
TKT-010426,CLI-03910,ORD-077231,2025-07-27 08:31:04,2025-07-29 10:31:04,ChatBot,Onde está meu pedido?,Resolvido,Meu rastreio não atualiza desde terça. Alguém me ajuda?,3.0,0.0,2.0
TKT-010427,CLI-09097,ORD-067419,2023-12-23 11:14:11,2025-12-31 23:59:00,E-mail,Defeito,Em Análise,A costura estava totalmente solta quando abri a embalagem.,2.0,60.0,15.0
TKT-010428,CLI-09097,ORD-047066,2025-07-24 13:32:06,2025-12-31 23:59:00,E-mail,Dúvida Técnica,Aberto,O app não carrega a página de checkout.,4.0,363.0,15.0
TKT-010429,CLI-11830,ORD-045948,2023-05-08 15:56:11,2023-05-10 16:56:11,ChatBot,Elogio,Resolvido,"Melhor loja online que já comprei, recomendo muito.",5.0,2.0,2.0
TKT-010430,CLI-01729,ORD-005054,2025-07-23 21:28:25,2025-07-26 19:28:25,WhatsApp,Onde está meu pedido?,Resolvido,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",4.0,11.0,15.0
TKT-010431,CLI-01729,ORD-002103,2023-07-01 13:02:18,2025-12-31 23:59:00,Telefone,Elogio,Aberto,"Embalagem linda, presente perfeito. Obrigada!",5.0,20.0,15.0
TKT-010432,CLI-11830,ORD-014923,2023-04-14 08:32:04,2023-04-15 07:32:04,ChatBot,Troca de Tamanho,Escalado para N2,"Quero fazer uma troca, o produto não serviu.",3.0,3.0,2.0
TKT-010433,CLI-01729,ORD-032724,2024-12-09 21:33:56,2024-12-13 03:33:56,E-mail,Elogio,Resolvido,"Atendimento impecável, vocês são os melhores!",5.0,279.0,15.0
TKT-010434,CLI-01729,ORD-076782,2024-06-08 08:11:46,2024-06-12 06:11:46,ChatBot,Dúvida Técnica,Resolvido,O app não carrega a página de checkout.,5.0,1.0,2.0
TKT-010435,CLI-11830,ORD-004132,2025-10-25 18:53:41,2025-10-26 23:53:41,Reclame Aqui,Troca de Tamanho,Escalado para N2,"Me mandaram o tamanho errado, preciso resolver isso.",3.0,938.0,45.0
TKT-010436,CLI-01729,ORD-061630,2024-02-14 16:45:43,2024-02-18 11:45:43,Reclame Aqui,Troca de Tamanho,Resolvido,"Preciso trocar o tamanho M pelo G, como faço?",3.0,925.0,45.0
TKT-010437,CLI-11830,ORD-049997,2023-11-27 15:37:50,2023-11-29 00:37:50,E-mail,Dúvida Técnica,Resolvido,O app não carrega a página de checkout.,4.0,351.0,15.0
TKT-010438,CLI-11830,ORD-045861,2024-07-19 15:08:05,2024-07-19 16:08:05,WhatsApp,Elogio,Resolvido,"Melhor loja online que já comprei, recomendo muito.",5.0,4.0,15.0
TKT-010439,CLI-12360,ORD-052829,2024-05-22 17:34:27,2024-05-24 06:34:27,WhatsApp,Pagamento não aprovado,Escalado para N2,Meu pagamento não foi aprovado mas o valor foi debitado.,3.0,4.0,15.0
TKT-010440,CLI-01729,ORD-076377,2024-01-16 22:55:19,2025-12-31 23:59:00,WhatsApp,Dúvida Técnica,Em Análise,Como adiciono um endereço diferente para entrega?,4.0,8.0,15.0
TKT-010441,CLI-11830,ORD-074718,2025-02-06 19:44:18,2025-02-08 04:44:18,Reclame Aqui,Dúvida Técnica,Escalado para N2,Qual o prazo de entrega para o meu CEP?,4.0,459.0,45.0
TKT-010442,CLI-11830,ORD-073576,2025-04-24 11:19:33,2025-04-24 23:19:33,E-mail,Defeito,Resolvido,O produto chegou com defeito de fabricação.,3.0,316.0,15.0
TKT-010443,CLI-11830,ORD-078943,2025-08-13 16:12:25,2025-08-14 03:12:25,E-mail,Dúvida Técnica,Resolvido,O app não carrega a página de checkout.,3.0,451.0,15.0
TKT-010444,CLI-01729,ORD-031006,2025-12-10 10:15:31,2025-12-31 23:59:00,Telefone,Onde está meu pedido?,Em Análise,Comprei semana passada e nada até agora. Péssimo.,2.0,10.0,15.0
TKT-010445,CLI-04627,ORD-042623,2023-11-15 15:40:35,2023-11-17 16:40:35,ChatBot,Troca de Tamanho,Resolvido,O vestido veio num tamanho diferente do que pedi.,3.0,2.0,2.0
TKT-010446,CLI-12742,ORD-064070,2025-03-07 13:32:54,2025-03-09 04:32:54,ChatBot,Onde está meu pedido?,Escalado para N2,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",1.0,1.0,2.0
TKT-010447,CLI-09832,ORD-032224,2024-03-19 19:52:27,2024-03-20 04:52:27,E-mail,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,3.0,476.0,15.0
TKT-010448,CLI-05057,ORD-028116,2025-01-12 17:37:29,2025-12-31 23:59:00,WhatsApp,Elogio,Aberto,"Melhor loja online que já comprei, recomendo muito.",5.0,8.0,15.0
TKT-010449,CLI-06160,ORD-073771,2024-06-14 07:46:52,2024-06-17 07:46:52,Telefone,Pagamento não aprovado,Resolvido,"Cartão recusado sem motivo, quero entender o que aconteceu.",3.0,7.0,15.0
TKT-010450,CLI-07163,ORD-007015,2025-12-27 09:13:28,2025-12-30 06:13:28,WhatsApp,Dúvida Técnica,Resolvido,Como adiciono um endereço diferente para entrega?,4.0,9.0,15.0
TKT-010451,CLI-01729,ORD-021888,2025-03-19 22:55:10,2025-03-20 10:55:10,WhatsApp,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,4.0,15.0,15.0
TKT-010452,CLI-11830,ORD-000568,2025-11-25 15:43:06,2025-11-27 01:43:06,E-mail,Troca de Tamanho,Escalado para N2,"Quero fazer uma troca, o produto não serviu.",2.0,329.0,15.0
TKT-010453,CLI-11830,ORD-021179,2025-07-19 10:59:59,2025-12-31 23:59:00,Telefone,Defeito,Aberto,O produto parou de funcionar em dois dias. Absurdo.,4.0,13.0,15.0
TKT-010454,CLI-14211,ORD-030560,2025-10-18 09:41:41,2025-10-21 20:41:41,Telefone,Troca de Tamanho,Resolvido,O vestido veio num tamanho diferente do que pedi.,3.0,5.0,15.0
TKT-010455,CLI-11830,ORD-069666,2025-06-19 21:54:16,2025-06-20 05:54:16,ChatBot,Troca de Tamanho,Escalado para N2,O vestido veio num tamanho diferente do que pedi.,3.0,2.0,2.0
TKT-010456,CLI-01729,ORD-038038,2024-05-25 19:52:44,2024-05-26 16:52:44,WhatsApp,Defeito,Resolvido,O produto parou de funcionar em dois dias. Absurdo.,3.0,7.0,15.0
TKT-010457,CLI-03277,ORD-048610,2023-11-06 17:59:56,2023-11-08 00:59:56,E-mail,Onde está meu pedido?,Resolvido,Cadê meu produto? Já passou da data prevista.,3.0,368.0,15.0
TKT-010458,CLI-11830,ORD-059573,2024-02-24 10:15:50,2024-02-27 11:15:50,WhatsApp,Defeito,Resolvido,A costura estava totalmente solta quando abri a embalagem.,2.0,14.0,15.0
TKT-010459,CLI-11830,ORD-007166,2023-02-01 17:47:42,2025-12-31 23:59:00,WhatsApp,Onde está meu pedido?,Em Análise,Cadê meu produto? Já passou da data prevista.,4.0,10.0,15.0
TKT-010460,CLI-02895,ORD-062957,2024-08-21 11:57:54,2024-08-21 15:57:54,WhatsApp,Elogio,Escalado para N2,"Produto chegou antes do prazo, adorei! Parabéns.",5.0,15.0,15.0
TKT-010461,CLI-12360,ORD-005928,2024-07-26 21:41:15,2024-07-29 02:41:15,WhatsApp,Defeito,Resolvido,O produto chegou com defeito de fabricação.,5.0,15.0,15.0
TKT-010462,CLI-11830,ORD-069948,2024-08-23 22:17:56,2025-12-31 23:59:00,E-mail,Onde está meu pedido?,Em Análise,Meu rastreio não atualiza desde terça. Alguém me ajuda?,2.0,377.0,15.0
TKT-010463,CLI-01729,ORD-033773,2025-12-11 12:29:25,2025-12-12 03:29:25,Reclame Aqui,Elogio,Escalado para N2,"Produto chegou antes do prazo, adorei! Parabéns.",4.0,1431.0,45.0
TKT-010464,CLI-07899,ORD-071242,2025-10-29 16:20:10,2025-11-01 03:20:10,E-mail,Dúvida Técnica,Resolvido,"Não consigo acessar minha conta, esqueci a senha.",3.0,123.0,15.0
TKT-010465,CLI-11830,ORD-007843,2023-07-14 10:01:03,2023-07-16 09:01:03,WhatsApp,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,3.0,6.0,15.0
TKT-010466,CLI-06160,ORD-044018,2024-02-22 22:14:19,2024-02-23 02:14:19,WhatsApp,Troca de Tamanho,Escalado para N2,Como solicito a troca? O tamanho P está pequeno demais.,3.0,10.0,15.0
TKT-010467,CLI-02924,ORD-040189,2024-04-22 11:39:08,2024-04-26 10:39:08,ChatBot,Pagamento não aprovado,Resolvido,"Cartão recusado sem motivo, quero entender o que aconteceu.",1.0,2.0,2.0
TKT-010468,CLI-11830,ORD-056558,2024-02-10 22:18:18,2024-02-14 21:18:18,E-mail,Dúvida Técnica,Resolvido,O app não carrega a página de checkout.,3.0,421.0,15.0
TKT-010469,CLI-11830,ORD-035199,2025-05-29 11:52:19,2025-05-30 01:52:19,Telefone,Elogio,Resolvido,"Atendimento impecável, vocês são os melhores!",5.0,11.0,15.0
TKT-010470,CLI-11830,ORD-043021,2024-08-22 07:50:08,2025-12-31 23:59:00,WhatsApp,Defeito,Aberto,A costura estava totalmente solta quando abri a embalagem.,3.0,11.0,15.0
TKT-010471,CLI-11830,ORD-071369,2024-10-23 22:12:46,2024-10-25 15:12:46,ChatBot,Dúvida Técnica,Resolvido,Como adiciono um endereço diferente para entrega?,4.0,1.0,2.0
TKT-010472,CLI-08729,ORD-063283,2025-08-14 12:04:13,2025-12-31 23:59:00,WhatsApp,Onde está meu pedido?,Aberto,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",3.0,6.0,15.0
TKT-010473,CLI-01729,ORD-018527,2025-06-07 22:08:20,2025-06-10 13:08:20,ChatBot,Defeito,Resolvido,A costura estava totalmente solta quando abri a embalagem.,3.0,1.0,2.0
TKT-010474,CLI-01729,ORD-000161,2023-06-02 21:46:12,2025-12-31 23:59:00,E-mail,Troca de Tamanho,Aberto,"Me mandaram o tamanho errado, preciso resolver isso.",2.0,77.0,15.0
TKT-010475,CLI-11830,ORD-017552,2025-03-05 20:13:51,2025-03-06 23:13:51,WhatsApp,Onde está meu pedido?,Resolvido,Meu rastreio não atualiza desde terça. Alguém me ajuda?,3.0,2.0,15.0
TKT-010476,CLI-11830,ORD-018067,2024-05-05 18:14:10,2025-12-31 23:59:00,WhatsApp,Troca de Tamanho,Em Análise,"Quero fazer uma troca, o produto não serviu.",4.0,12.0,15.0
TKT-010477,CLI-11830,ORD-022100,2023-11-30 10:50:57,2023-11-30 16:50:57,WhatsApp,Elogio,Resolvido,"Embalagem linda, presente perfeito. Obrigada!",5.0,9.0,15.0
TKT-010478,CLI-01729,ORD-013687,2023-03-11 09:59:00,2025-12-31 23:59:00,E-mail,Troca de Tamanho,Em Análise,"Preciso trocar o tamanho M pelo G, como faço?",4.0,315.0,15.0
TKT-010479,CLI-01729,ORD-047142,2024-06-29 22:17:36,2024-07-01 03:17:36,WhatsApp,Onde está meu pedido?,Resolvido,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",3.0,4.0,15.0
TKT-010480,CLI-11830,ORD-015192,2024-02-02 19:57:26,2024-02-06 16:57:26,WhatsApp,Troca de Tamanho,Escalado para N2,Como solicito a troca? O tamanho P está pequeno demais.,2.0,12.0,15.0
TKT-010481,CLI-00076,ORD-036301,2023-11-06 10:53:48,2023-11-09 05:53:48,Telefone,Dúvida Técnica,Resolvido,Como aplico o cupom de desconto?,4.0,18.0,15.0
TKT-010482,CLI-13668,ORD-003458,2025-02-08 11:47:58,2025-02-08 20:47:58,WhatsApp,Elogio,Resolvido,"Qualidade excelente, com certeza vou comprar novamente.",5.0,3.0,15.0
TKT-010483,CLI-04627,ORD-052910,2025-05-05 17:55:01,2025-05-06 06:55:01,ChatBot,Defeito,Escalado para N2,O produto parou de funcionar em dois dias. Absurdo.,3.0,1.0,2.0
TKT-010484,CLI-11830,ORD-045050,2023-11-02 16:57:00,2023-11-04 19:57:00,Telefone,Troca de Tamanho,Resolvido,"Preciso trocar o tamanho M pelo G, como faço?",4.0,12.0,15.0
TKT-010485,CLI-11830,ORD-040175,2023-03-10 22:26:10,2025-12-31 23:59:00,Reclame Aqui,Defeito,Em Análise,O produto parou de funcionar em dois dias. Absurdo.,4.0,593.0,45.0
TKT-010486,CLI-13668,ORD-030227,2025-08-08 19:29:12,2025-08-10 09:29:12,WhatsApp,Elogio,Resolvido,"Embalagem linda, presente perfeito. Obrigada!",3.0,2.0,15.0
TKT-010487,CLI-00495,ORD-005568,2023-01-16 07:25:39,2025-12-31 23:59:00,WhatsApp,Dúvida Técnica,Aberto,Como adiciono um endereço diferente para entrega?,2.0,9.0,15.0
TKT-010488,CLI-11830,ORD-047233,2025-11-16 22:15:57,2025-12-31 23:59:00,WhatsApp,Onde está meu pedido?,Em Análise,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",3.0,7.0,15.0
TKT-010489,CLI-11830,ORD-076502,2024-11-29 09:23:52,2024-12-01 09:23:52,WhatsApp,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,2.0,2.0,15.0
TKT-010490,CLI-11830,ORD-036502,2023-12-21 07:22:25,2023-12-22 19:22:25,Telefone,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,3.0,3.0,15.0
TKT-010491,CLI-11830,ORD-050083,2023-11-03 22:17:45,2025-12-31 23:59:00,Telefone,Onde está meu pedido?,Aberto,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",2.0,13.0,15.0
TKT-010492,CLI-06160,ORD-007968,2023-01-15 16:40:16,2023-01-16 05:40:16,Reclame Aqui,Dúvida Técnica,Resolvido,"Não consigo acessar minha conta, esqueci a senha.",5.0,403.0,45.0
TKT-010493,CLI-08289,ORD-046990,2023-10-22 13:34:48,2025-12-31 23:59:00,E-mail,Pagamento não aprovado,Aberto,"Cartão recusado sem motivo, quero entender o que aconteceu.",3.0,443.0,15.0
TKT-010494,CLI-11830,ORD-059114,2023-06-09 19:48:31,2023-06-10 12:48:31,Reclame Aqui,Elogio,Resolvido,"Atendimento impecável, vocês são os melhores!",5.0,221.0,45.0
TKT-010495,CLI-11830,ORD-020771,2024-11-22 12:43:53,2024-11-23 15:43:53,Telefone,Onde está meu pedido?,Resolvido,Meu rastreio não atualiza desde terça. Alguém me ajuda?,4.0,18.0,15.0
TKT-010496,CLI-11830,ORD-012690,2023-07-21 09:35:08,2023-07-23 23:35:08,Telefone,Onde está meu pedido?,Resolvido,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",4.0,4.0,15.0
TKT-010497,CLI-11830,ORD-072859,2024-08-28 21:33:38,2024-08-31 14:33:38,WhatsApp,Defeito,Resolvido,A costura estava totalmente solta quando abri a embalagem.,2.0,6.0,15.0
TKT-010498,CLI-11830,ORD-052164,2024-11-08 16:55:08,2024-11-12 12:55:08,E-mail,Troca de Tamanho,Resolvido,"Me mandaram o tamanho errado, preciso resolver isso.",3.0,480.0,15.0
TKT-010499,CLI-01729,ORD-026542,2023-12-03 14:36:08,2023-12-07 13:36:08,WhatsApp,Elogio,Resolvido,"Produto chegou antes do prazo, adorei! Parabéns.",5.0,11.0,15.0
TKT-010500,CLI-11830,ORD-067729,2023-02-23 15:10:08,2025-12-31 23:59:00,Reclame Aqui,Onde está meu pedido?,Em Análise,Cadê meu produto? Já passou da data prevista.,4.0,1360.0,45.0
TKT-010501,CLI-04767,ORD-054790,2023-02-27 11:55:28,2023-03-01 06:55:28,ChatBot,Elogio,Resolvido,"Produto chegou antes do prazo, adorei! Parabéns.",5.0,1.0,2.0
TKT-010502,CLI-14211,ORD-036462,2023-02-10 18:33:01,2023-02-12 21:33:01,Telefone,Onde está meu pedido?,Resolvido,Cadê meu produto? Já passou da data prevista.,3.0,7.0,15.0
TKT-010503,CLI-14211,ORD-024680,2025-03-28 15:31:26,2025-03-29 22:31:26,WhatsApp,Pagamento não aprovado,Resolvido,Meu pagamento não foi aprovado mas o valor foi debitado.,3.0,11.0,15.0
TKT-010504,CLI-08001,ORD-019848,2023-12-18 13:27:03,2023-12-20 15:27:03,ChatBot,Defeito,Resolvido,"Recebi o item danificado, quero reembolso.",2.0,2.0,2.0
TKT-010505,CLI-01729,ORD-045796,2025-05-27 14:46:38,2025-05-30 00:46:38,Telefone,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,4.0,15.0,15.0
TKT-010506,CLI-11830,ORD-038750,2024-05-02 10:22:21,2024-05-03 17:22:21,ChatBot,Dúvida Técnica,Resolvido,O app não carrega a página de checkout.,4.0,1.0,2.0
TKT-010507,CLI-11830,ORD-067049,2024-05-20 22:03:15,2025-12-31 23:59:00,WhatsApp,Defeito,Em Análise,"Recebi o item danificado, quero reembolso.",3.0,6.0,15.0
TKT-010508,CLI-11830,ORD-079909,2024-08-06 12:47:08,2024-08-07 04:47:08,WhatsApp,Defeito,Resolvido,O produto chegou com defeito de fabricação.,3.0,12.0,15.0
TKT-010509,CLI-13093,ORD-035685,2025-03-04 15:25:18,2025-03-05 20:25:18,WhatsApp,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,4.0,13.0,15.0
TKT-010510,CLI-12360,ORD-025965,2023-11-20 07:56:23,2023-11-20 20:56:23,WhatsApp,Troca de Tamanho,Resolvido,Como solicito a troca? O tamanho P está pequeno demais.,2.0,3.0,15.0
TKT-010511,CLI-11830,ORD-075392,2023-05-23 16:32:14,2023-05-27 09:32:14,Reclame Aqui,Onde está meu pedido?,Resolvido,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",2.0,1202.0,45.0
TKT-010512,CLI-11830,ORD-040618,2024-10-02 22:53:05,2024-10-06 09:53:05,ChatBot,Dúvida Técnica,Escalado para N2,Como adiciono um endereço diferente para entrega?,4.0,2.0,2.0
TKT-010513,CLI-11830,ORD-042785,2023-12-25 09:25:43,2023-12-26 19:25:43,Telefone,Elogio,Escalado para N2,"Atendimento impecável, vocês são os melhores!",5.0,18.0,15.0
TKT-010514,CLI-11830,ORD-041304,2024-05-11 10:04:47,2024-05-11 18:04:47,E-mail,Elogio,Resolvido,"Qualidade excelente, com certeza vou comprar novamente.",5.0,97.0,15.0
TKT-010515,CLI-04627,ORD-008638,2024-12-13 17:40:31,2024-12-15 09:40:31,WhatsApp,Onde está meu pedido?,Escalado para N2,Cadê meu produto? Já passou da data prevista.,3.0,12.0,15.0
TKT-010516,CLI-11830,ORD-010888,2024-07-09 08:28:45,2025-12-31 23:59:00,Telefone,Defeito,Aberto,O produto parou de funcionar em dois dias. Absurdo.,3.0,15.0,15.0
TKT-010517,CLI-11830,ORD-002532,2024-11-25 13:04:24,2024-11-26 19:04:24,Telefone,Defeito,Resolvido,"Recebi o item danificado, quero reembolso.",4.0,15.0,15.0
TKT-010518,CLI-07163,ORD-013563,2024-09-17 07:28:51,2024-09-19 09:28:51,WhatsApp,Onde está meu pedido?,Escalado para N2,"Fiz o pedido há 10 dias e ainda não chegou, o que está acontecendo?",3.0,4.0,15.0
TKT-010519,CLI-01729,ORD-028476,2025-03-29 13:37:11,2025-12-31 23:59:00,WhatsApp,Defeito,Em Análise,Comprei e já veio com problema. Péssima qualidade.,1.0,7.0,15.0
TKT-010520,CLI-11830,ORD-018906,2025-02-25 17:04:38,2025-12-31 23:59:00,WhatsApp,Defeito,Aberto,O produto parou de funcionar em dois dias. Absurdo.,3.0,4.0,15.0
TKT-010521,CLI-11830,ORD-047761,2024-09-04 14:14:35,2025-12-31 23:59:00,E-mail,Dúvida Técnica,Aberto,Como aplico o cupom de desconto?,3.0,205.0,15.0
