campanha_id,nome_campanha,canal,categoria_foco,data_inicio,data_fim,investimento_reais,impressoes,cliques,conversoes,atribuicao,status,roas,receita_gerada,cac
CAMP-0587,Retargeting_Carrinho_2024,TikTok Ads,Geral,2024-03-11,2024-06-06,104767.61,36928575,2155003,231537,Linear,Finalizada,6.6,691466.23,0.45
CAMP-0588,TikTok_Viral_2023_09,Email Marketing,Moda,2023-09-13,2023-12-11,59930.82,13698119,338820,17322,Last Click,Finalizada,4.82,288866.55,3.46
CAMP-0589,LTV_Expansion_2024,Influenciador,Geral,2024-11-26,2024-12-07,26499.25,3841335,203148,10878,First Click,Pausada,5.97,158200.52,2.44
CAMP-0590,Parceria_Creator_2024,TikTok Ads,Lifestyle,2024-09-03,2025-12-31,10266.57,2281659,59966,4451,Last Click,Ativa,3.69,37883.64,2.31
CAMP-0591,Semana_Consumidor_2024_06,Marketplace,Acessórios,2024-06-26,2024-08-06,3161.24,699709,15262,280,Linear,Finalizada,4.37,13814.62,11.29
CAMP-0592,Stories_Boost_2024,Email Marketing,Moda,2024-04-04,2025-12-31,43356.38,11044098,280027,23595,Linear,Ativa,4.26,184698.18,1.84
CAMP-0593,Volta_as_Aulas_2023,TikTok Ads,Lifestyle,2023-12-20,2024-04-14,1222.36,214929,10909,1048,Linear,Finalizada,6.84,8360.94,1.17
CAMP-0594,Push_Carrinho_2025_09,Instagram Ads,Acessórios,2025-09-25,2025-12-31,27463.9,8554111,161788,5777,Linear,Finalizada,5.79,159015.98,4.75
CAMP-0595,Influenciador_Inverno_2024_02,TikTok Ads,Acessórios,2024-02-11,2024-04-12,25308.25,5668820,209968,10753,Linear,Finalizada,3.49,88325.79,2.35
CAMP-0596,Branding_Awareness_2025_06,Instagram Ads,Acessórios,2025-06-11,2025-08-11,91588.42,27564996,650013,48468,First Click,Finalizada,6.61,605399.46,1.89
CAMP-0597,UGC_Organico_2025,Influenciador,Geral,2025-10-20,2025-12-16,24663.71,5056148,180977,5559,Linear,Finalizada,14.45,356390.61,4.44
CAMP-0598,Semana_Consumidor_2023,Influenciador,Moda,2023-02-22,2023-03-05,3415.25,490701,27179,1425,First Click,Finalizada,10.06,34357.42,2.4
CAMP-0599,Volta_as_Aulas_2024_09,Marketplace,Moda,2024-09-01,2024-12-27,47054.41,18665093,274659,15387,First Click,Finalizada,4.82,226802.26,3.06
CAMP-0600,Natal_Presentes_2024_07,Google Ads,Beleza,2024-07-27,2024-10-02,72524.39,27597659,1063878,69441,First Click,Pausada,3.2,232078.05,1.04
CAMP-0601,Lancamento_Colecao_2024_10,Marketplace,Moda,2024-10-26,2024-12-14,55332.51,14627839,677841,28245,Linear,Finalizada,2.39,132244.7,1.96
CAMP-0602,Liquida_Beleza_2024_10,TikTok Ads,Lifestyle,2024-10-27,2024-11-25,30046.35,11056716,510031,30786,First Click,Finalizada,6.04,181479.95,0.98
CAMP-0603,Liquidacao_Julho_2023_03,Marketplace,Moda,2023-03-09,2023-05-23,80065.5,8115281,371517,40586,Linear,Finalizada,4.97,397925.53,1.97
CAMP-0604,TikTok_Viral_2023,Instagram Ads,Lifestyle,2023-02-17,2023-04-06,54222.13,8723544,299351,18212,Last Click,Finalizada,5.38,291715.06,2.98
CAMP-0605,Lancamento_Colecao_2025,Marketplace,Lifestyle,2025-07-28,2025-08-08,30222.57,9275665,140034,11725,Linear,Pausada,1.27,38382.66,2.58
CAMP-0606,Volta_as_Aulas_2025_08,Orgânico,Beleza,2025-08-05,2025-09-16,20636.57,1770228,23414,991,Linear,Pausada,1.67,34463.07,20.82
CAMP-0607,Performance_Moda_2025,TikTok Ads,Moda,2025-05-05,2025-06-03,85786.59,31368730,1119221,65615,Linear,Pausada,6.77,580775.21,1.31
CAMP-0608,Black_Friday_Main_2024_12,Orgânico,Moda,2024-12-10,2025-03-03,6030.03,1210628,22384,838,Last Click,Pausada,1.37,8261.14,7.2
CAMP-0609,Influenciador_Verao_2024,Instagram Ads,Moda,2024-04-22,2024-05-27,95671.51,33077870,553389,15702,Last Click,Pausada,6.08,581682.78,6.09
CAMP-0610,Performance_Sempre_Ligada_2025_04,Email Marketing,Beleza,2025-04-18,2025-06-18,28042.49,3193571,79248,923,Last Click,Pausada,2.56,71788.77,30.38
CAMP-0611,TikTok_Viral_2025_05,Google Ads,Moda,2025-05-21,2025-06-02,106278.11,22483239,1077224,69969,Linear,Pausada,3.54,376224.51,1.52
CAMP-0612,LTV_Expansion_2023_10,Google Ads,Lifestyle,2023-10-11,2024-01-15,81412.48,31845093,1403524,65299,Linear,Finalizada,3.69,300412.05,1.25
CAMP-0613,Performance_Sempre_Ligada_2024,Marketplace,Moda,2024-01-20,2024-03-24,61420.93,19493802,666256,58303,First Click,Finalizada,3.47,213130.63,1.05
CAMP-0614,Cyber_Monday_2025_07,Influenciador,Beleza,2025-07-25,2025-08-11,16679.15,3996198,73948,3795,Linear,Pausada,13.89,231673.39,4.4
CAMP-0615,CAC_Reducao_2023,Marketplace,Lifestyle,2023-05-11,2023-08-23,62600.57,24590856,1025399,42789,Last Click,Pausada,3.93,246020.24,1.46
CAMP-0616,CAC_Reducao_2025,Google Ads,Beleza,2025-01-22,2025-05-11,73045.97,14760800,364962,21408,First Click,Pausada,3.49,254930.44,3.41
CAMP-0617,Cyber_Monday_2023_03,Instagram Ads,Beleza,2023-03-03,2023-05-19,28509.95,2993905,136819,6055,Linear,Pausada,4.12,117460.99,4.71
CAMP-0618,Fidelidade_Clientes_2024,Google Ads,Lifestyle,2024-10-15,2024-11-16,103518.58,24220721,1391545,68956,Linear,Finalizada,3.44,356103.92,1.5
CAMP-0619,Natal_Presentes_2023_08,Email Marketing,Acessórios,2023-08-01,2023-10-01,91111.23,34156725,1330388,35664,Last Click,Pausada,2.52,229600.3,2.55
CAMP-0620,Stories_Boost_2024_09,Marketplace,Lifestyle,2024-09-20,2024-11-08,85840.63,12243366,681206,7125,Last Click,Pausada,3.9,334778.46,12.05
CAMP-0621,Black_Friday_Main_2024_12,Marketplace,Acessórios,2024-12-12,2025-01-27,49172.75,4544772,254158,13300,Last Click,Pausada,4.05,199149.64,3.7
CAMP-0622,Lookalike_Gold_2025,TikTok Ads,Lifestyle,2025-12-16,2025-12-31,78178.58,29433141,1361416,49907,Linear,Pausada,3.85,300987.53,1.57
CAMP-0623,Performance_Beleza_2025_11,Orgânico,Moda,2025-11-21,2025-12-31,72731.19,27795305,435360,16202,First Click,Ativa,4.37,317835.3,4.49
CAMP-0624,Semana_Consumidor_2025,Instagram Ads,Moda,2025-12-13,2025-12-31,62320.74,8751292,262478,26581,Linear,Pausada,4.5,280443.33,2.34
CAMP-0625,Black_Friday_Main_2025,Orgânico,Acessórios,2025-05-24,2025-09-20,13291.03,3498674,173085,17233,Last Click,Pausada,4.72,62733.66,0.77
CAMP-0626,Liquida_Beleza_2023,Orgânico,Lifestyle,2023-03-27,2023-04-15,92894.49,19852358,589134,24577,Linear,Pausada,2.5,232236.23,3.78
CAMP-0627,LTV_Expansion_2024,Google Ads,Beleza,2024-03-17,2024-05-20,22439.44,2218683,38831,3631,Last Click,Pausada,3.87,86840.63,6.18
CAMP-0628,Fidelidade_Clientes_2023,Orgânico,Geral,2023-11-06,2025-12-31,10467.71,1255058,14234,188,First Click,Ativa,3.69,38625.85,55.68
CAMP-0629,Natal_Presentes_2024_01,Instagram Ads,Moda,2024-01-22,2024-02-03,25485.99,8496307,233942,15722,Last Click,Pausada,6.66,169736.69,1.62
CAMP-0630,Branding_Awareness_2025,TikTok Ads,Lifestyle,2025-07-11,2025-11-08,119933.53,40944239,2331018,193844,Last Click,Finalizada,7.84,940278.88,0.62
CAMP-0631,Cyber_Monday_2023_08,TikTok Ads,Moda,2023-08-28,2023-12-05,3276.52,390974,13915,1594,Linear,Pausada,3.89,12745.66,2.06
CAMP-0632,Lancamento_Colecao_2025,Orgânico,Acessórios,2025-07-22,2025-10-18,2192.31,428083,4443,439,Last Click,Finalizada,1.93,4231.16,4.99
CAMP-0633,UGC_Organico_2023_06,Marketplace,Geral,2023-06-14,2023-08-20,88166.47,15344153,278404,7168,Linear,Pausada,4.14,365009.19,12.3
CAMP-0634,Influenciador_Verao_2023_08,Email Marketing,Moda,2023-08-26,2025-12-31,99916.02,39848258,2364413,145052,Linear,Ativa,2.93,292753.94,0.69
CAMP-0635,Volta_as_Aulas_2023,Google Ads,Beleza,2023-03-25,2023-06-29,12835.27,5106841,48614,5454,First Click,Pausada,3.77,48388.97,2.35
CAMP-0636,CAC_Reducao_2025_08,Orgânico,Lifestyle,2025-08-22,2025-12-31,16463.62,4133255,188978,3769,Linear,Ativa,1.9,31280.88,4.37
CAMP-0637,Natal_Presentes_2023,TikTok Ads,Geral,2023-11-11,2024-02-17,78539.57,26014363,1515203,87981,First Click,Finalizada,2.25,176714.03,0.89
CAMP-0638,Semana_Consumidor_2024_12,Instagram Ads,Moda,2024-12-19,2025-03-31,68826.11,8312376,201952,10465,Linear,Pausada,2.31,158988.31,6.58
CAMP-0639,Lancamento_Colecao_2024_06,Google Ads,Acessórios,2024-06-25,2024-09-26,62466.22,17023147,332825,17800,Last Click,Pausada,3.32,207387.85,3.51
CAMP-0640,Dia_Das_Maes_2024,TikTok Ads,Beleza,2024-11-15,2025-12-31,34150.46,10896017,568277,57425,Linear,Ativa,3.51,119868.11,0.59
CAMP-0641,TikTok_Viral_2025,Instagram Ads,Lifestyle,2025-10-16,2025-11-19,35121.11,13671897,151187,14986,Linear,Finalizada,3.05,107119.39,2.34
CAMP-0642,Liquida_Beleza_2025_12,TikTok Ads,Beleza,2025-12-02,2025-12-31,102842.1,32165568,757605,75496,Linear,Pausada,7.94,816566.27,1.36
CAMP-0643,CAC_Reducao_2024,Marketplace,Lifestyle,2024-11-16,2025-02-27,47049.36,11711066,266052,23040,First Click,Finalizada,3.19,150087.46,2.04
CAMP-0644,Black_Friday_Main_2025_01,Google Ads,Lifestyle,2025-01-28,2025-03-14,78625.15,20811320,644692,40659,Linear,Finalizada,3.22,253172.98,1.93
CAMP-0645,Dia_Dos_Namorados_2024,Google Ads,Moda,2024-12-28,2025-03-31,45311.38,17873716,774488,22076,First Click,Pausada,3.97,179886.18,2.05
CAMP-0646,Liquida_Beleza_2025_11,Instagram Ads,Moda,2025-11-11,2025-12-07,29551.12,3487529,99832,4322,Last Click,Finalizada,5.26,155438.89,6.84
CAMP-0647,Email_Reativacao_2024_11,TikTok Ads,Moda,2024-11-13,2025-02-11,44205.3,5233912,64362,4107,Linear,Finalizada,2.96,130847.69,10.76
CAMP-0648,Dia_Das_Maes_2024,Email Marketing,Geral,2024-05-23,2024-09-08,46198.39,18478678,823083,35244,Linear,Pausada,1.25,57747.99,1.31
CAMP-0649,Feed_Carousel_2025_01,Google Ads,Acessórios,2025-01-13,2025-03-29,7859.01,2734040,98499,9856,Linear,Finalizada,3.75,29471.29,0.8
CAMP-0650,Retargeting_Carrinho_2025_12,Instagram Ads,Beleza,2025-12-06,2025-12-31,53778.5,9711039,97454,7139,First Click,Ativa,4.81,258674.58,7.53
CAMP-0651,LTV_Expansion_2025_05,Instagram Ads,Moda,2025-05-12,2025-06-09,117256.95,34076159,712652,10745,Linear,Finalizada,5.91,692988.57,10.91
CAMP-0652,Branding_Awareness_2023,Email Marketing,Acessórios,2023-10-16,2023-12-28,72819.42,17723439,775797,64304,Last Click,Finalizada,1.75,127433.99,1.13
CAMP-0653,LTV_Expansion_2023,TikTok Ads,Beleza,2023-10-18,2023-12-09,15593.36,4352731,51652,1965,Last Click,Finalizada,2.56,39919.0,7.94
CAMP-0654,TikTok_Viral_2025_07,Instagram Ads,Lifestyle,2025-07-23,2025-12-31,24610.8,6927000,152454,12141,Linear,Ativa,3.86,94997.69,2.03
CAMP-0655,Performance_Beleza_2025_03,Orgânico,Geral,2025-03-14,2025-04-30,45597.24,17713874,369686,14681,First Click,Finalizada,3.19,145455.2,3.11
CAMP-0656,Remarketing_30d_2024_06,Influenciador,Moda,2024-06-25,2024-10-21,32982.89,3672413,216427,7454,First Click,Pausada,13.92,459121.83,4.42
CAMP-0657,Volta_as_Aulas_2025_08,Email Marketing,Lifestyle,2025-08-04,2025-11-08,66274.76,18185093,993299,28589,Linear,Finalizada,1.72,113992.59,2.32
CAMP-0658,UGC_Organico_2025,Orgânico,Geral,2025-10-28,2025-12-31,31235.51,9362240,422120,34753,First Click,Pausada,3.94,123067.91,0.9
CAMP-0659,Liquidacao_Julho_2025,Orgânico,Lifestyle,2025-04-22,2025-07-28,22135.92,8756943,433647,28293,Linear,Finalizada,3.08,68178.63,0.78
CAMP-0660,Cyber_Monday_2024,TikTok Ads,Beleza,2024-11-28,2025-12-31,36818.25,12024291,624695,49859,First Click,Ativa,7.64,281291.43,0.74
CAMP-0661,Email_Reativacao_2023,Email Marketing,Moda,2023-12-10,2024-02-18,115467.53,24903431,857960,77549,Linear,Pausada,3.74,431848.56,1.49
CAMP-0662,Upsell_Platinum_2024_01,Email Marketing,Moda,2024-01-20,2024-05-12,85756.38,26141061,1228178,45276,Linear,Pausada,4.29,367894.87,1.89
CAMP-0663,Fidelidade_Clientes_2023,Orgânico,Geral,2023-10-15,2024-01-16,21142.74,4174767,62340,3046,Last Click,Pausada,2.52,53279.7,6.94
CAMP-0664,Volta_as_Aulas_2025_04,Instagram Ads,Lifestyle,2025-04-27,2025-08-10,34949.76,8199210,178472,1828,Last Click,Pausada,3.09,107994.76,19.12
CAMP-0665,Stories_Boost_2023,Orgânico,Geral,2023-08-20,2023-09-03,905.75,205888,4841,105,Last Click,Finalizada,1.74,1576.0,8.63
CAMP-0666,Performance_Beleza_2024,Instagram Ads,Moda,2024-08-07,2025-12-31,61815.37,7985767,115313,7335,Last Click,Ativa,3.25,200899.95,8.43
CAMP-0667,Liquidacao_Julho_2024,Marketplace,Lifestyle,2024-06-14,2024-08-28,13221.66,2913301,150462,4183,Linear,Finalizada,1.02,13486.09,3.16
CAMP-0668,Performance_Beleza_2023_05,Google Ads,Moda,2023-05-02,2025-12-31,50642.48,9418909,90831,7564,First Click,Ativa,3.98,201557.07,6.7
CAMP-0669,Lookalike_Gold_2025_08,Marketplace,Acessórios,2025-08-26,2025-09-18,90180.57,29733255,856126,76930,First Click,Finalizada,2.56,230862.26,1.17
CAMP-0670,Fidelidade_Clientes_2023,Instagram Ads,Moda,2023-03-12,2023-06-25,6434.37,2223380,67463,5105,Last Click,Pausada,3.45,22198.58,1.26
CAMP-0671,Liquidacao_Julho_2023_10,Instagram Ads,Acessórios,2023-10-05,2023-11-04,33880.43,3957450,85890,7481,Linear,Pausada,2.99,101302.49,4.53
CAMP-0672,Liquidacao_Julho_2025_12,TikTok Ads,Moda,2025-12-17,2025-12-31,27680.23,3386251,33845,4025,First Click,Pausada,1.61,44565.17,6.88
CAMP-0673,Influenciador_Verao_2024,Instagram Ads,Moda,2024-07-17,2024-10-13,26768.67,5791248,64805,3692,Last Click,Pausada,3.35,89675.04,7.25
CAMP-0674,Liquidacao_Julho_2023_06,Influenciador,Acessórios,2023-06-02,2023-06-09,79319.6,14509511,331346,13524,Last Click,Pausada,3.18,252236.33,5.87
CAMP-0675,Dia_Dos_Namorados_2024_02,Influenciador,Lifestyle,2024-02-04,2024-05-08,39879.17,12650210,338924,32424,Last Click,Pausada,3.95,157522.72,1.23
CAMP-0676,Black_Friday_Main_2024_02,Google Ads,Geral,2024-02-04,2025-12-31,89161.97,10566887,406837,44890,Last Click,Ativa,3.19,284426.68,1.99
CAMP-0677,LTV_Expansion_2025_10,Instagram Ads,Moda,2025-10-11,2025-12-17,64120.2,8282736,121319,6794,Linear,Pausada,6.39,409728.08,9.44
CAMP-0678,Liquida_Beleza_2024_11,Influenciador,Lifestyle,2024-11-23,2025-12-31,52447.87,12299161,433369,49737,Linear,Ativa,9.19,481995.93,1.05
CAMP-0679,Liquida_Beleza_2023_10,Google Ads,Lifestyle,2023-10-02,2024-01-05,88937.68,18427711,803523,84954,Linear,Pausada,3.44,305945.62,1.05
CAMP-0680,Lancamento_Colecao_2024_07,Marketplace,Geral,2024-07-20,2024-08-19,19368.37,2899415,128239,13684,Linear,Pausada,3.02,58492.48,1.42
CAMP-0681,LTV_Expansion_2024,Email Marketing,Lifestyle,2024-04-10,2024-06-26,20698.87,1958030,39918,570,First Click,Pausada,2.11,43674.62,36.31
CAMP-0682,LTV_Expansion_2025_04,Influenciador,Moda,2025-04-27,2025-05-18,77907.73,22005702,1288551,58889,Linear,Pausada,8.46,659099.4,1.32
CAMP-0683,Push_Carrinho_2025_05,Google Ads,Acessórios,2025-05-11,2025-08-06,98907.03,14852816,864312,25446,Linear,Pausada,3.66,361999.73,3.89
CAMP-0684,Feed_Carousel_2025_05,Instagram Ads,Acessórios,2025-05-28,2025-08-20,98058.27,14768015,324560,24011,Last Click,Pausada,3.98,390271.91,4.08
CAMP-0685,Stories_Boost_2024,Google Ads,Acessórios,2024-03-16,2025-12-31,21945.32,3054985,161432,4968,Last Click,Ativa,3.18,69786.12,4.42
CAMP-0686,Influenciador_Verao_2023_03,Instagram Ads,Lifestyle,2023-03-27,2023-06-19,8520.6,878095,18223,2004,First Click,Pausada,5.62,47885.77,4.25
CAMP-0687,Influenciador_Inverno_2025,Orgânico,Moda,2025-02-13,2025-03-06,91660.8,26236462,269566,10059,Linear,Pausada,4.75,435388.8,9.11
CAMP-0688,Dia_Das_Maes_2023,Instagram Ads,Moda,2023-09-24,2024-01-18,24438.13,5712074,212879,12533,First Click,Pausada,4.39,107283.39,1.95
CAMP-0689,Upsell_Platinum_2025,Instagram Ads,Geral,2025-05-21,2025-05-30,12517.27,2189975,75773,7729,First Click,Pausada,3.12,39053.88,1.62
CAMP-0690,Cyber_Monday_2023_06,Marketplace,Acessórios,2023-06-21,2023-10-18,82474.6,25464229,1397577,89585,Last Click,Finalizada,1.41,116289.19,0.92
CAMP-0691,Influenciador_Inverno_2025_06,Influenciador,Moda,2025-06-04,2025-06-21,72619.86,9947591,353984,26887,Linear,Pausada,13.45,976737.12,2.7
CAMP-0692,Upsell_Platinum_2024,Influenciador,Geral,2024-06-04,2024-08-13,111959.24,38002348,1709647,31458,Linear,Finalizada,14.68,1643561.64,3.56
CAMP-0693,Dia_Das_Maes_2023,Google Ads,Lifestyle,2023-07-15,2023-10-30,97795.04,11365005,343536,30896,First Click,Finalizada,3.99,390202.21,3.17
CAMP-0694,Volta_as_Aulas_2024_06,TikTok Ads,Acessórios,2024-06-16,2024-09-19,72288.83,20509305,311485,35460,Last Click,Finalizada,4.22,305058.86,2.04
CAMP-0695,TikTok_Viral_2024_09,Email Marketing,Geral,2024-09-18,2024-11-13,69799.48,15006123,570976,49266,Last Click,Pausada,1.35,94229.3,1.42
CAMP-0696,Semana_Consumidor_2023_06,Instagram Ads,Beleza,2023-06-18,2023-07-12,7337.37,1407243,73366,7728,Linear,Pausada,4.3,31550.69,0.95
CAMP-0697,Performance_Beleza_2023_04,Marketplace,Beleza,2023-04-02,2023-04-24,45419.8,4016518,233662,11889,Last Click,Pausada,3.33,151247.93,3.82
CAMP-0698,Stories_Boost_2023,TikTok Ads,Geral,2023-01-05,2023-01-22,9432.42,2472601,124403,3292,Linear,Pausada,2.41,22732.13,2.87
CAMP-0699,Email_Reativacao_2024_07,Orgânico,Lifestyle,2024-07-24,2024-11-08,34554.93,4488130,241551,3268,Last Click,Pausada,1.64,56670.09,10.57
CAMP-0700,Influenciador_Inverno_2025_08,TikTok Ads,Acessórios,2025-08-18,2025-09-27,85180.47,18362735,296624,34717,Last Click,Finalizada,6.33,539192.38,2.45
CAMP-0701,Liquida_Beleza_2023_07,Email Marketing,Moda,2023-07-06,2023-09-22,98023.75,22535616,547296,44116,Last Click,Pausada,1.22,119588.97,2.22
CAMP-0702,Influenciador_Verao_2023,Orgânico,Acessórios,2023-05-04,2025-12-31,43651.66,14370786,365657,13291,Linear,Ativa,1.26,55001.09,3.28
CAMP-0703,Branding_Awareness_2023_09,Instagram Ads,Lifestyle,2023-09-07,2023-09-18,32446.33,12736229,475945,34273,First Click,Pausada,2.24,72679.78,0.95
CAMP-0704,Stories_Boost_2024,Influenciador,Moda,2024-05-13,2024-06-29,87137.44,34125830,1519901,31479,Linear,Finalizada,7.8,679672.03,2.77
CAMP-0705,TikTok_Viral_2023,TikTok Ads,Beleza,2023-10-26,2024-01-16,34956.3,4491608,144097,15472,First Click,Pausada,3.01,105218.46,2.26
CAMP-0706,Branding_Awareness_2025_03,TikTok Ads,Beleza,2025-03-17,2025-06-25,53808.13,6563689,151777,11926,Linear,Finalizada,7.29,392261.27,4.51
CAMP-0707,CAC_Reducao_2023,Marketplace,Beleza,2023-10-20,2025-12-31,18457.69,5184630,175609,17300,First Click,Ativa,2.24,41345.23,1.07
CAMP-0708,Natal_Presentes_2024_06,Marketplace,Moda,2024-06-06,2024-07-03,33758.06,6625527,83746,2488,Last Click,Pausada,4.94,166764.82,13.57
CAMP-0709,Lancamento_Colecao_2025_03,TikTok Ads,Acessórios,2025-03-04,2025-05-12,43743.96,7511713,219865,17185,Linear,Pausada,3.88,169726.56,2.55
CAMP-0710,Performance_Sempre_Ligada_2023_11,Influenciador,Lifestyle,2023-11-14,2023-12-24,74549.52,21323948,992293,36645,First Click,Pausada,2.74,204265.68,2.03
CAMP-0711,Lookalike_Gold_2023_10,Influenciador,Acessórios,2023-10-13,2023-11-17,104924.23,30861172,806858,49649,First Click,Finalizada,7.24,759651.43,2.11
CAMP-0712,Lancamento_Colecao_2024,Google Ads,Moda,2024-07-07,2024-07-22,41222.34,11270114,214774,19660,First Click,Finalizada,3.04,125315.91,2.1
CAMP-0713,Black_Friday_Main_2025,Marketplace,Beleza,2025-04-11,2025-07-03,7675.55,2599944,127545,15004,Linear,Finalizada,4.47,34309.71,0.51
CAMP-0714,Email_Reativacao_2024_11,Marketplace,Lifestyle,2024-11-06,2025-12-31,8497.23,1781205,41882,3699,Last Click,Ativa,1.86,15804.85,2.3
CAMP-0715,TikTok_Viral_2023_07,Google Ads,Moda,2023-07-11,2023-08-25,23992.92,9151411,302403,20837,Linear,Pausada,3.44,82535.64,1.15
CAMP-0716,Stories_Boost_2023_09,Email Marketing,Acessórios,2023-09-26,2023-10-28,86782.3,23007427,357077,29654,Linear,Pausada,3.97,344525.73,2.93
CAMP-0717,Lancamento_Colecao_2023,Orgânico,Lifestyle,2023-03-15,2023-05-24,13810.1,5391357,157061,10566,First Click,Finalizada,4.77,65874.18,1.31
CAMP-0718,Black_Friday_Main_2025_10,Orgânico,Acessórios,2025-10-04,2025-12-31,89535.76,12539503,554436,52772,First Click,Ativa,2.39,213990.47,1.7
CAMP-0719,Liquidacao_Julho_2023,Orgânico,Geral,2023-06-27,2023-08-11,60349.81,21586077,957655,77934,Linear,Finalizada,2.41,145443.04,0.77
CAMP-0720,Performance_Beleza_2024_02,Marketplace,Geral,2024-02-06,2024-03-31,66419.88,8770764,268960,11122,Last Click,Pausada,2.75,182654.67,5.97
CAMP-0721,Influenciador_Verao_2023_02,Orgânico,Geral,2023-02-26,2023-03-16,74027.99,15665025,529682,49096,Linear,Pausada,3.53,261318.8,1.51
CAMP-0722,Remarketing_30d_2025,Email Marketing,Moda,2025-05-28,2025-07-02,66280.23,7730949,406105,46523,Last Click,Finalizada,4.66,308865.87,1.42
CAMP-0723,Cyber_Monday_2023,TikTok Ads,Acessórios,2023-06-26,2023-08-08,105576.94,17382156,896939,87420,Last Click,Finalizada,1.53,161532.72,1.21
CAMP-0724,Black_Friday_Main_2023_03,Instagram Ads,Moda,2023-03-26,2023-07-15,40343.77,15610270,930795,34068,Last Click,Finalizada,5.08,204946.35,1.18
CAMP-0725,Influenciador_Inverno_2025_07,TikTok Ads,Moda,2025-07-05,2025-08-30,48493.66,8816146,143166,5069,Linear,Pausada,4.78,231799.69,9.57
CAMP-0726,Parceria_Creator_2025,Email Marketing,Acessórios,2025-05-27,2025-07-14,11371.88,1003055,8626,816,First Click,Pausada,3.83,43554.3,13.94
CAMP-0727,Semana_Consumidor_2023_12,Email Marketing,Acessórios,2023-12-24,2025-12-31,54554.01,15388626,409680,14899,First Click,Ativa,1.78,97106.14,3.66
CAMP-0728,Influenciador_Verao_2024_11,Orgânico,Acessórios,2024-11-02,2024-11-27,76678.71,20350028,272238,16471,Last Click,Pausada,1.57,120385.57,4.66
CAMP-0729,Retargeting_Carrinho_2023_08,Google Ads,Moda,2023-08-28,2023-12-20,47017.86,11149431,101925,1844,Last Click,Pausada,3.21,150927.33,25.5
CAMP-0730,Dia_Das_Maes_2025,Marketplace,Lifestyle,2025-08-26,2025-10-10,108455.85,31570765,1288816,134074,Last Click,Pausada,4.97,539025.57,0.81
CAMP-0731,CAC_Reducao_2025,Email Marketing,Geral,2025-01-06,2025-02-14,23302.86,2084619,19174,1271,First Click,Pausada,2.46,57325.04,18.33
CAMP-0732,Lancamento_Colecao_2023_04,Instagram Ads,Lifestyle,2023-04-03,2023-04-26,32985.24,4741826,60612,5327,Last Click,Finalizada,5.73,189005.43,6.19
CAMP-0733,Black_Friday_Main_2024,Marketplace,Geral,2024-04-09,2024-07-12,115432.18,13035325,641911,47908,Last Click,Finalizada,4.82,556383.11,2.41
CAMP-0734,Retargeting_Carrinho_2024_10,Marketplace,Acessórios,2024-10-24,2024-12-10,72954.02,15858755,594566,30403,First Click,Pausada,2.8,204271.26,2.4
CAMP-0735,Cyber_Monday_2025,Email Marketing,Lifestyle,2025-07-10,2025-11-06,47917.14,5591354,279959,16022,Linear,Finalizada,1.29,61813.11,2.99
CAMP-0736,Cyber_Monday_2023,Influenciador,Lifestyle,2023-06-04,2025-12-31,82657.43,25572294,488844,35402,Last Click,Ativa,8.64,714160.2,2.33
CAMP-0737,LTV_Expansion_2023,Influenciador,Geral,2023-09-07,2025-12-31,33510.21,9199537,496174,51895,Linear,Ativa,9.87,330745.77,0.65
CAMP-0738,Dia_Das_Maes_2024,TikTok Ads,Acessórios,2024-06-07,2024-09-24,59938.39,23788534,711380,16824,First Click,Finalizada,5.34,320071.0,3.56
CAMP-0739,Upsell_Platinum_2024_01,Email Marketing,Moda,2024-01-21,2024-04-10,109414.85,18709617,968511,52599,Last Click,Pausada,3.11,340280.18,2.08
CAMP-0740,Parceria_Creator_2023,Orgânico,Moda,2023-08-04,2023-10-03,33105.89,10633000,306420,21820,Last Click,Finalizada,1.19,39396.01,1.52
CAMP-0741,TikTok_Viral_2024,Orgânico,Acessórios,2024-11-04,2025-01-29,3708.72,353466,3018,65,First Click,Pausada,3.9,14464.01,57.06
CAMP-0742,Semana_Consumidor_2023,Google Ads,Moda,2023-12-26,2024-03-10,112106.42,40107726,862466,83093,Last Click,Pausada,3.08,345287.77,1.35
CAMP-0743,LTV_Expansion_2024_05,Orgânico,Geral,2024-05-23,2024-06-16,14564.19,2653398,41647,3092,Last Click,Finalizada,2.65,38595.1,4.71
CAMP-0744,Semana_Consumidor_2025,Orgânico,Moda,2025-09-08,2025-12-08,117166.66,21442862,986477,34370,Last Click,Finalizada,3.85,451091.64,3.41
CAMP-0745,Volta_as_Aulas_2025,Email Marketing,Beleza,2025-11-24,2025-12-31,9202.3,2192667,41767,3498,First Click,Pausada,1.75,16104.02,2.63
CAMP-0746,Upsell_Platinum_2025,Influenciador,Beleza,2025-09-17,2025-12-30,85079.78,24646981,1283761,27758,Last Click,Finalizada,5.77,490910.33,3.07
CAMP-0747,Lancamento_Colecao_2025,TikTok Ads,Geral,2025-04-25,2025-05-10,50886.66,15245903,876299,64405,Linear,Finalizada,7.2,366383.95,0.79
CAMP-0748,Volta_as_Aulas_2023,Instagram Ads,Beleza,2023-08-06,2023-10-12,42364.43,4993257,182832,8956,Linear,Finalizada,4.51,191063.58,4.73
